Conference,Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Western Conference,Los Angeles Lakers*,52,19,.732,—,113.4,107.6,6.28
Western Conference,Los Angeles Clippers*,49,23,.681,3.5,116.3,109.9,6.66
Western Conference,Denver Nuggets*,46,27,.630,7.0,111.3,109.2,2.35
Western Conference,Houston Rockets*,44,28,.611,8.5,117.8,114.8,3.13
Western Conference,Oklahoma City Thunder*,44,28,.611,8.5,110.4,108.4,2.33
Western Conference,Utah Jazz*,44,28,.611,8.5,111.3,108.8,2.52
Western Conference,Dallas Mavericks*,43,32,.573,11.0,117.0,112.1,4.87
Western Conference,Portland Trail Blazers*,35,39,.473,18.5,115.0,116.1,-0.61
Western Conference,Memphis Grizzlies,34,39,.466,19.0,112.6,113.7,-0.91
Western Conference,Phoenix Suns,34,39,.466,19.0,113.6,113.4,0.56
Western Conference,San Antonio Spurs,32,39,.451,20.0,114.1,115.2,-0.65
Western Conference,Sacramento Kings,31,41,.431,21.5,110.1,112.1,-1.59
Western Conference,New Orleans Pelicans,30,42,.417,22.5,115.8,117.1,-0.55
Western Conference,Minnesota Timberwolves,19,45,.297,29.5,113.3,117.5,-4.02
Western Conference,Golden State Warriors,15,50,.231,34.0,106.3,115.0,-8.12
