GAME_DATE,MATCHUP,PTS,POINT_DIFFERENTIAL
2020-10-11,MIA vs. LAL,93,-13.0
2020-10-06,MIA vs. LAL,96,-6.0
2020-10-04,MIA vs. LAL,115,11.0
2020-09-27,MIA vs. BOS,125,12.0
2020-09-23,MIA vs. BOS,112,3.0
2020-09-19,MIA vs. BOS,106,-11.0
2020-09-06,MIA vs. MIL,115,-3.0
2020-09-04,MIA vs. MIL,115,15.0
2020-08-24,MIA vs. IND,99,12.0
2020-08-22,MIA vs. IND,124,9.0
2020-08-10,MIA vs. IND,114,22.0
2020-08-08,MIA vs. PHX,112,-7.0
2020-08-04,MIA vs. BOS,112,6.0
2020-08-03,MIA vs. TOR,103,-4.0
2020-07-28,MIA vs. MEM,110,-18.0
2020-07-22,MIA vs. SAC,104,6.0
2020-03-11,MIA vs. CHA,98,-11.0
2020-03-04,MIA vs. ORL,116,3.0
2020-03-02,MIA vs. MIL,105,16.0
2020-02-29,MIA vs. BKN,116,3.0
2020-02-28,MIA vs. DAL,126,8.0
2020-02-26,MIA vs. MIN,126,-3.0
2020-02-22,MIA vs. CLE,124,19.0
2020-02-03,MIA vs. PHI,137,31.0
2020-01-28,MIA vs. BOS,101,-8.0
2020-01-27,MIA vs. ORL,113,21.0
2020-01-24,MIA vs. LAC,117,-5.0
2020-01-22,MIA vs. WAS,134,5.0
2020-01-20,MIA vs. SAC,118,5.0
2020-01-15,MIA vs. SAS,106,6.0
2020-01-05,MIA vs. POR,122,11.0
2020-01-02,MIA vs. TOR,84,8.0
2019-12-28,MIA vs. PHI,117,1.0
2019-12-27,MIA vs. IND,113,1.0
2019-12-23,MIA vs. UTA,107,3.0
2019-12-20,MIA vs. NYK,129,15.0
2019-12-13,MIA vs. LAL,110,-3.0
2019-12-10,MIA vs. ATL,135,14.0
2019-12-08,MIA vs. CHI,110,5.0
2019-12-06,MIA vs. WAS,112,9.0
2019-11-29,MIA vs. GSW,122,17.0
2019-11-25,MIA vs. CHA,117,17.0
2019-11-20,MIA vs. CLE,124,24.0
2019-11-16,MIA vs. NOP,109,15.0
2019-11-12,MIA vs. DET,117,9.0
2019-11-03,MIA vs. HOU,129,29.0
2019-10-29,MIA vs. ATL,112,15.0
2019-10-23,MIA vs. MEM,120,19.0
2019-10-18,MIA vs. HOU,133,-11.0
2019-10-14,MIA vs. ATL,120,33.0
2019-10-08,MIA vs. SAS,107,18.0
