GAME_DATE,MATCHUP,PTS,POINT_DIFFERENTIAL
2021-06-03,LAL vs. PHX,100,-13.0
2021-05-30,LAL vs. PHX,92,-8.0
2021-05-27,LAL vs. PHX,109,14.0
2021-05-19,LAL vs. GSW,103,3.0
2021-05-12,LAL vs. HOU,124,2.0
2021-05-11,LAL vs. NYK,101,2.0
2021-05-09,LAL vs. PHX,123,13.0
2021-05-03,LAL vs. DEN,93,4.0
2021-05-02,LAL vs. TOR,114,-7.0
2021-04-30,LAL vs. SAC,106,-4.0
2021-04-19,LAL vs. UTA,97,-14.0
2021-04-17,LAL vs. UTA,127,12.0
2021-04-15,LAL vs. BOS,113,-8.0
2021-03-31,LAL vs. MIL,97,-15.0
2021-03-28,LAL vs. ORL,96,3.0
2021-03-26,LAL vs. CLE,100,14.0
2021-03-25,LAL vs. PHI,101,-8.0
2021-03-20,LAL vs. ATL,94,-5.0
2021-03-18,LAL vs. CHA,116,11.0
2021-03-16,LAL vs. MIN,137,16.0
2021-03-12,LAL vs. IND,105,5.0
2021-03-02,LAL vs. PHX,104,-10.0
2021-02-28,LAL vs. GSW,117,26.0
2021-02-26,LAL vs. POR,102,9.0
2021-02-22,LAL vs. WAS,124,-3.0
2021-02-20,LAL vs. MIA,94,-2.0
2021-02-18,LAL vs. BKN,98,-11.0
2021-02-12,LAL vs. MEM,115,10.0
2021-02-10,LAL vs. OKC,114,1.0
2021-02-08,LAL vs. OKC,119,7.0
2021-02-06,LAL vs. DET,135,6.0
2021-02-04,LAL vs. DEN,114,21.0
2021-01-18,LAL vs. GSW,113,-2.0
2021-01-15,LAL vs. NOP,112,17.0
2021-01-08,LAL vs. CHI,117,2.0
2021-01-07,LAL vs. SAS,109,-9.0
2020-12-28,LAL vs. POR,107,-8.0
2020-12-27,LAL vs. MIN,127,36.0
2020-12-25,LAL vs. DAL,138,23.0
2020-12-22,LAL vs. LAC,109,-7.0
2020-12-13,LAL vs. LAC,131,25.0
2020-12-11,LAL vs. LAC,87,6.0
