Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,,G,W,L,W/L%,Notes
2022-23,34,BOS,NBA,82,57,25,.695,16.0,1,,20,11,9,.550,
2023-24,35,BOS,NBA,82,64,18,.780,23.0,1,,19,16,3,.842,NBA Champions
2024-25,36,BOS,NBA,18,15,3,.833,6.0,1,,,,,,
