Season,Age,Tm,Lg,G,W,L,W/L%,W > .500,Finish,Unnamed: 10,G.1,W.1,L.1,W/L%.1,Notes
2022-23,34,BOS,NBA,82,57,25,0.695,16.0,1,x,20.0,11.0,9.0,0.55,x
2023-24,35,BOS,NBA,82,64,18,0.78,23.0,1,x,19.0,16.0,3.0,0.842,NBA Champions
2024-25,36,BOS,NBA,18,15,3,0.833,6.0,1,x,x,x,x,x,x
