Category,Team,Lg Rank
W,52,3
L,19,28
PW,48,6
PL,23,5
MOV,5.79,5
SOS,0.49,4
SRS,6.28,3
ORtg,112.0,11
DRtg,106.3,3
Pace,100.9,11
FTr,0.276,6
3PAr,0.358,23
eFG%,0.542,5
TOV%,13.3,23
ORB%,24.5,4
FT/FGA,0.201,16
eFG%,0.515,7
TOV%,14.1,3
DRB%,78.8,7
FT/FGA,0.205,16
Arena,STAPLES Center,
Attendance,"588,907",14
