Category,Team,Lg Rank
W,53,3
L,29,27
PW,55,4
PL,27,4
MOV,5.54,5
SOS,-0.02,17
SRS,5.52,4
ORtg,112.5,17
DRtg,106.9,1
NetRtg,5.6,5
Pace,98.4,13
FTr,0.235,23
3PAr,0.456,2
eFG%,0.552,3
TOV%,13.5,29
ORB%,22.8,18
FT/FGA,0.181,22
eFG%,0.509,2
TOV%,13.0,7
DRB%,78.7,2
FT/FGA,0.201,22
Arena,Chase Center,
Attendance,"740,624",10
