Category,Team,Lg Rank
W,46,7
L,26,24
PW,48,5
PL,24,5
MOV,5.89,3
SOS,-0.32,30
SRS,5.57,4
ORtg,117.2,6
DRtg,111.4,10
NetRtg,5.7,5
Pace,102.2,2
FTr,0.233,24
3PAr,0.404,12
eFG%,0.566,2
TOV%,12.0,12
ORB%,23.3,9
FT/FGA,0.177,26
eFG%,0.536,13
TOV%,11.5,24
DRB%,79.7,3
FT/FGA,0.157,1
Arena,Fiserv Forum,
Attendance,"64,780",10
