Category,Team,Lg Rank
W,64,1
L,18,30
PW,66,1
PL,16,1
MOV,11.34,29
SOS,-0.6,1
SRS,10.75,1
ORtg,123.2,3
DRtg,111.6,23
Pace,97.2,25
FTr,0.224,2
3PAr,0.471,12
eFG%,0.578,2
TOV%,10.8,2
ORB%,24.9,21
FT/FGA,0.18,2
eFG%,0.523,29
TOV%,10.8,11
DRB%,76.3,1
FT/FGA,-0.145,
Arena,TD Garden,
Attendance,"785,396",10
