Conference,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Cleaned Team,Team ID,TEAM_ID,TEAM_NAME,GP,W_y,L_y,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
Western Conference,Oklahoma City Thunder*,57,25,0.695,—,120.1,112.7,7.36,2023-24,Oklahoma City Thunder,1610612760,1610612760,Oklahoma City Thunder,82,57,25,0.695,3961.0,117.0,118.3,109.1,111.0,7.9,7.3,0.609,2.14,19.4,0.25,0.698,0.484,0.125,0.573,0.608,102.3,100.85,84.04,8324,0.538,1,2,2,2,10,3,4,2,23,5,12,28,27,28,5,3,2,5,3
Western Conference,Denver Nuggets*,57,25,0.695,—,114.9,109.6,5.23,2023-24,Denver Nuggets,1610612743,1610612743,Denver Nuggets,82,57,25,0.695,3941.0,115.6,117.8,110.5,112.3,5.0,5.5,0.669,2.33,20.9,0.3,0.718,0.515,0.13,0.562,0.589,99.1,97.43,81.19,7996,0.533,1,2,2,2,26,5,8,4,5,2,2,6,15,6,9,8,11,26,4
Western Conference,Minnesota Timberwolves*,56,26,0.683,1.0,113.0,106.5,6.39,2023-24,Minnesota Timberwolves,1610612750,1610612750,Minnesota Timberwolves,82,56,26,0.683,3961.0,113.1,114.6,106.2,108.4,6.9,6.3,0.646,1.88,19.3,0.275,0.725,0.508,0.144,0.559,0.594,99.5,97.79,81.49,8081,0.543,1,4,4,4,10,17,1,3,12,22,14,21,9,8,23,10,8,23,2
Western Conference,Los Angeles Clippers*,51,31,0.622,6.0,115.6,112.3,3.41,2023-24,Los Angeles Clippers,1610612746,1610612746,LA Clippers,82,51,31,0.622,3941.0,116.1,117.9,112.3,114.6,3.9,3.4,0.604,1.95,18.7,0.283,0.705,0.502,0.134,0.561,0.599,99.7,97.93,81.61,8040,0.52,1,5,5,5,26,4,16,7,24,21,18,17,24,13,15,9,7,20,7
Western Conference,Dallas Mavericks*,50,32,0.61,7.0,117.9,115.6,2.3,2023-24,Dallas Mavericks,1610612742,1610612742,Dallas Mavericks,82,50,32,0.61,3941.0,115.2,117.0,112.6,114.9,2.6,2.1,0.596,2.05,18.5,0.257,0.711,0.485,0.124,0.562,0.592,102.4,100.6,83.83,8263,0.506,1,6,6,6,26,8,18,15,26,10,20,25,21,26,4,7,9,7,16
Western Conference,Phoenix Suns*,49,33,0.598,8.0,116.2,113.2,3.08,2023-24,Phoenix Suns,1610612756,1610612756,Phoenix Suns,82,49,33,0.598,3956.0,114.9,116.8,111.5,113.7,3.4,3.1,0.637,1.82,19.4,0.292,0.714,0.514,0.15,0.565,0.603,100.8,99.0,82.5,8158,0.527,1,8,8,8,17,10,13,8,14,24,11,9,20,7,25,6,4,15,5
Western Conference,New Orleans Pelicans*,49,33,0.598,8.0,115.1,110.7,4.46,2023-24,New Orleans Pelicans,1610612740,1610612740,New Orleans Pelicans,82,49,33,0.598,3941.0,115.0,116.5,110.1,111.9,5.0,4.6,0.634,2.07,19.4,0.278,0.725,0.505,0.132,0.558,0.591,100.2,98.7,82.25,8101,0.524,1,8,8,8,26,11,6,6,15,7,10,19,8,10,12,11,10,16,6
Western Conference,Los Angeles Lakers*,47,35,0.573,10.0,118.0,117.4,1.07,2023-24,Los Angeles Lakers,1610612747,1610612747,Los Angeles Lakers,82,47,35,0.573,3971.0,113.6,115.4,112.7,114.8,0.9,0.6,0.654,2.04,20.1,0.244,0.725,0.496,0.137,0.566,0.601,103.1,101.38,84.48,8387,0.518,1,12,12,12,3,15,17,19,8,12,6,29,11,21,17,5,5,4,9
Western Conference,Sacramento Kings,46,36,0.561,11.0,116.6,114.8,2.29,2023-24,Sacramento Kings,1610612758,1610612758,Sacramento Kings,82,46,36,0.561,3971.0,113.8,116.2,112.9,114.4,0.9,1.8,0.654,2.16,19.9,0.285,0.744,0.507,0.131,0.556,0.582,101.1,99.46,82.88,8226,0.5,1,16,16,16,3,13,14,16,7,4,8,15,1,9,11,14,14,14,19
Western Conference,Golden State Warriors,46,36,0.561,11.0,117.8,115.2,2.77,2023-24,Golden State Warriors,1610612744,1610612744,Golden State Warriors,82,46,36,0.561,3966.0,114.7,116.9,112.4,114.5,2.3,2.4,0.671,2.05,20.1,0.315,0.725,0.521,0.142,0.557,0.586,101.8,99.91,83.26,8261,0.512,1,16,16,16,7,9,15,13,4,11,5,4,10,2,22,12,12,11,13
