Conference,Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Eastern Conference,Milwaukee Bucks*,56,17,.767,—,118.7,108.6,9.41
Eastern Conference,Toronto Raptors*,53,19,.736,2.5,112.8,106.5,5.97
Eastern Conference,Boston Celtics*,48,24,.667,7.5,113.7,107.3,5.83
Eastern Conference,Indiana Pacers*,45,28,.616,11.0,109.4,107.5,1.63
Eastern Conference,Miami Heat*,44,29,.603,12.0,112.0,109.1,2.59
Eastern Conference,Philadelphia 76ers*,43,30,.589,13.0,110.7,108.4,2.25
Eastern Conference,Brooklyn Nets*,35,37,.486,20.5,111.8,112.3,-1.01
Eastern Conference,Orlando Magic*,33,40,.452,23.0,107.3,108.3,-0.93
Eastern Conference,Charlotte Hornets,23,42,.354,29.0,102.9,109.6,-7.03
Eastern Conference,Washington Wizards,25,47,.347,30.5,114.4,119.1,-5.24
Eastern Conference,Chicago Bulls,22,43,.338,30.0,106.8,109.9,-4.00
Eastern Conference,New York Knicks,21,45,.318,31.5,105.8,112.3,-6.72
Eastern Conference,Detroit Pistons,20,46,.303,32.5,107.2,110.8,-4.38
Eastern Conference,Atlanta Hawks,20,47,.299,33.0,111.8,119.7,-7.71
Eastern Conference,Cleveland Cavaliers,19,46,.292,33.0,106.9,114.8,-7.77
