Conference,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Cleaned Team,Team ID,TEAM_ID,TEAM_NAME,GP,W_y,L_y,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
Eastern Conference,Milwaukee Bucks*,58,24,0.707,—,116.9,113.3,3.61,2022-23,Milwaukee Bucks,1610612749,1610612749,Milwaukee Bucks,82,58,24,0.707,3966.0,112.8,114.3,109.4,110.9,3.3,3.4,0.604,1.76,18.1,0.284,0.745,0.521,0.143,0.555,0.583,102.8,101.45,84.54,8389,0.523,1,1,1,1,12,15,4,5,15,23,16,14,2,3,19,10,15,10,5
Eastern Conference,Boston Celtics*,57,25,0.695,1.0,117.9,111.4,6.38,2022-23,Boston Celtics,1610612738,1610612738,Boston Celtics,82,57,25,0.695,3996.0,115.7,117.3,108.8,110.6,7.0,6.7,0.632,2.0,19.1,0.255,0.746,0.506,0.133,0.566,0.6,100.6,99.15,82.63,8247,0.534,1,2,2,2,1,2,2,1,5,4,5,27,1,9,7,4,5,20,1
Eastern Conference,Philadelphia 76ers*,54,28,0.659,4.0,115.2,110.9,4.37,2022-23,Philadelphia 76ers,1610612755,1610612755,Philadelphia 76ers,82,54,28,0.659,3976.0,115.5,117.0,110.2,112.7,5.2,4.4,0.616,1.84,18.6,0.258,0.721,0.496,0.139,0.563,0.608,99.2,97.44,81.2,8072,0.524,1,3,3,3,5,3,8,3,8,12,9,25,14,19,15,6,2,27,4
Eastern Conference,Cleveland Cavaliers*,51,31,0.622,7.0,112.3,106.9,5.23,2022-23,Cleveland Cavaliers,1610612739,1610612739,Cleveland Cavaliers,82,51,31,0.622,3976.0,113.7,115.5,107.7,109.9,6.0,5.6,0.6,1.87,18.6,0.273,0.715,0.496,0.137,0.556,0.59,98.0,96.27,80.23,7972,0.531,1,5,5,5,5,8,1,2,17,10,11,20,20,20,12,9,9,30,2
Eastern Conference,New York Knicks*,47,35,0.573,11.0,116.0,113.1,2.99,2022-23,New York Knicks,1610612752,1610612752,New York Knicks,82,47,35,0.573,3991.0,114.9,117.0,111.8,114.2,3.1,2.8,0.546,1.77,16.6,0.318,0.727,0.521,0.131,0.541,0.577,99.7,97.75,81.46,8134,0.509,1,8,8,8,2,4,19,7,30,22,29,2,12,2,5,20,20,26,14
Eastern Conference,Brooklyn Nets*,45,37,0.549,13.0,113.4,112.5,1.03,2022-23,Brooklyn Nets,1610612751,1610612751,Brooklyn Nets,82,45,37,0.549,3946.0,113.0,114.6,110.9,113.5,2.1,1.1,0.616,1.86,18.9,0.234,0.689,0.472,0.139,0.562,0.598,100.7,98.77,82.31,8111,0.51,1,9,9,9,29,12,16,14,9,11,6,29,29,29,16,7,7,23,13
Eastern Conference,Miami Heat*,44,38,0.537,14.0,109.5,109.8,-0.13,2022-23,Miami Heat,1610612748,1610612748,Miami Heat,82,44,38,0.537,3961.0,110.4,112.3,110.6,112.8,-0.2,-0.5,0.608,1.77,17.8,0.274,0.733,0.498,0.138,0.53,0.574,98.6,96.76,80.63,7991,0.496,1,11,11,11,18,25,9,21,14,21,21,18,4,18,13,25,21,29,22
Eastern Conference,Atlanta Hawks*,41,41,0.5,17.0,118.4,118.1,0.32,2022-23,Atlanta Hawks,1610612737,1610612737,Atlanta Hawks,82,41,41,0.5,3971.0,113.9,115.5,113.6,115.4,0.3,0.1,0.56,1.93,17.6,0.289,0.717,0.5,0.126,0.541,0.579,103.1,101.56,84.63,8407,0.5,1,17,17,17,8,7,22,19,28,6,22,11,18,16,3,19,19,6,17
Eastern Conference,Toronto Raptors,41,41,0.5,17.0,112.9,111.4,1.59,2022-23,Toronto Raptors,1610612761,1610612761,Toronto Raptors,82,41,41,0.5,3961.0,112.2,114.6,111.4,113.1,0.8,1.5,0.571,2.05,17.2,0.316,0.721,0.502,0.118,0.517,0.555,99.6,97.85,81.54,8076,0.496,1,17,17,17,18,13,11,12,26,1,25,3,15,15,1,28,27,25,21
Eastern Conference,Chicago Bulls,40,42,0.488,18.0,113.1,111.8,1.37,2022-23,Chicago Bulls,1610612741,1610612741,Chicago Bulls,82,40,42,0.488,3981.0,111.7,112.8,109.4,111.5,2.3,1.3,0.575,1.83,18.1,0.236,0.736,0.493,0.133,0.55,0.587,100.6,99.18,82.65,8225,0.512,1,19,19,19,4,24,5,13,23,14,17,28,3,22,8,12,12,18,9
Eastern Conference,Indiana Pacers,35,47,0.427,23.0,116.3,119.5,-2.91,2022-23,Indiana Pacers,1610612754,1610612754,Indiana Pacers,82,35,47,0.427,3951.0,111.0,113.8,115.4,117.1,-4.4,-3.3,0.643,1.81,18.9,0.285,0.685,0.482,0.146,0.545,0.581,103.8,101.68,84.73,8377,0.482,1,23,23,23,25,21,26,25,4,15,7,13,30,28,22,16,18,5,25
Eastern Conference,Washington Wizards,35,47,0.427,23.0,113.2,114.4,-1.06,2022-23,Washington Wizards,1610612764,1610612764,Washington Wizards,82,35,47,0.427,3951.0,111.5,113.7,113.3,114.9,-1.8,-1.2,0.603,1.8,18.5,0.273,0.724,0.505,0.142,0.55,0.585,100.8,99.16,82.63,8161,0.504,1,23,23,23,25,22,21,23,16,16,13,19,13,13,17,13,13,19,15
Eastern Conference,Orlando Magic,34,48,0.415,24.0,111.4,114.0,-2.39,2022-23,Orlando Magic,1610612753,1610612753,Orlando Magic,82,34,48,0.415,3956.0,109.0,111.3,111.5,113.7,-2.4,-2.3,0.574,1.54,17.0,0.281,0.73,0.505,0.151,0.532,0.573,101.7,99.66,83.05,8205,0.485,1,25,25,25,22,26,18,24,24,28,27,15,8,12,27,23,22,15,24
Eastern Conference,Charlotte Hornets,27,55,0.329,31.0,111.0,117.2,-5.89,2022-23,Charlotte Hornets,1610612766,1610612766,Charlotte Hornets,82,27,55,0.329,3966.0,106.7,108.4,112.6,114.7,-5.9,-6.3,0.609,1.77,17.8,0.276,0.717,0.491,0.139,0.516,0.551,103.3,101.47,84.56,8390,0.473,1,27,27,27,12,30,20,27,13,20,20,17,19,24,14,29,30,9,27
Eastern Conference,Detroit Pistons,17,65,0.207,41.0,110.3,118.5,-7.73,2022-23,Detroit Pistons,1610612765,1610612765,Detroit Pistons,82,17,65,0.207,3961.0,107.8,109.9,116.1,117.8,-8.2,-7.9,0.581,1.52,16.7,0.292,0.702,0.491,0.15,0.52,0.561,101.6,99.88,83.23,8231,0.449,1,30,30,30,18,28,27,28,22,29,28,8,27,23,26,27,26,13,30
